#White, J., Bradley, E., Garland, J., Jones, T., Morris, V., Price, M., Vaughn, B., 2019. Stable #Isotopes of Ice in the Transition and Glacial Sections of the WAIS Divide Deep Ice Core. #https://doi.org/10.15784/601274 from WDC_accumulation_annual.xls downloaded 03/2024
#50-year and 100-year average accumulation rates;;;;
;;;;
Age (years before 1950 on WD2014);Advection-correction accumulation rate (ice eq.);;Age (years before 1950 on WD2014);Advection-correction accumulation rate (ice eq.)
10500;0,178499704;;21000;0,082901542
10550;0,178677403;;21100;0,084640828
10600;0,185596106;;21200;0,08488844
10650;0,179201315;;21300;0,082306739
10700;0,171033615;;21400;0,080081572
10750;0,184364105;;21500;0,083409613
10800;0,189214593;;21600;0,08421728
10850;0,187040504;;21700;0,082861922
10900;0,192299019;;21800;0,085847101
10950;0,182496535;;21900;0,086105149
11000;0,196294064;;22000;0,082217633
11050;0,190505286;;22100;0,085364298
11100;0,197477351;;22200;0,083726959
11150;0,196130368;;22300;0,089680246
11200;0,197988322;;22400;0,086217757
11250;0,206101084;;22500;0,08804255
11300;0,216292745;;22600;0,08661588
11350;0,21045757;;22700;0,090520703
11400;0,214650998;;22800;0,090279904
11450;0,217501703;;22900;0,084414501
11500;0,243351737;;23000;0,091969319
11550;0,22775525;;23100;0,085380176
11600;0,218373921;;23200;0,085668111
11650;0,212356697;;23300;0,086032505
11700;0,201556165;;23400;0,086675328
11750;0,194995211;;23500;0,083769565
11800;0,190914108;;23600;0,090850782
11850;0,182149633;;23700;0,091120902
11900;0,173288582;;23800;0,090277888
11950;0,171718771;;23900;0,092971409
12000;0,174310254;;24000;0,094225991
12050;0,174738092;;24100;0,091507991
12100;0,1782321;;24200;0,094501282
12150;0,176333412;;24300;0,100450157
12200;0,173620508;;24400;0,096601488
12250;0,177540487;;24500;0,098031264
12300;0,182179462;;24600;0,102899533
12350;0,186259273;;24700;0,10597565
12400;0,174672843;;24800;0,101059907
12450;0,18221014;;24900;0,109519675
12500;0,187171501;;25000;0,107878316
12550;0,17685039;;25100;0,108726972
12600;0,182595143;;25200;0,110434424
12650;0,180599338;;25300;0,106282059
12700;0,180665198;;25400;0,107019694
12750;0,195384782;;25500;0,103449071
12800;0,194676559;;25600;0,104775788
12850;0,198526888;;25700;0,103715938
12900;0,199199539;;25800;0,105824735
12950;0,205642387;;25900;0,104329238
13000;0,210675158;;26000;0,105068841
13050;0,200689077;;26100;0,106628225
13100;0,215059238;;26200;0,108558387
13150;0,192891055;;26300;0,111531674
13200;0,190461182;;26400;0,113825171
13250;0,205445866;;26500;0,1098909
13300;0,189680413;;26600;0,115760106
13350;0,197765141;;26700;0,113492697
13400;0,193760446;;26800;0,114088027
13450;0,197377306;;26900;0,115697541
13500;0,202234469;;27000;0,115941222
13550;0,20646988;;27100;0,112371188
13600;0,208362679;;27200;0,117700038
13650;0,212330174;;27300;0,121288477
13700;0,207787474;;27400;0,124245476
13750;0,196418541;;27500;0,126613352
13800;0,196512318;;27600;0,130760598
13850;0,185120953;;27700;0,132594824
13900;0,191486442;;27800;0,126199227
13950;0,187862566;;27900;0,13036418
14000;0,191082709;;28000;0,126861014
14050;0,192808969;;28100;0,127657151
14100;0,185455325;;28200;0,136154532
14150;0,201695363;;28300;0,134177223
14200;0,193080711;;28400;0,129541663
14250;0,196552592;;28500;0,123413449
14300;0,193749924;;28600;0,122722287
14350;0,203193906;;28700;0,123876614
14400;0,203430771;;28800;0,125177317
14450;0,222664293;;28900;0,117166069
14500;0,204120382;;29000;0,114908581
14550;0,199845661;;29100;0,125721456
14600;0,211223375;;29200;0,123017622
14650;0,204132061;;29300;0,122964409
14700;0,206165391;;29400;0,12186029
14750;0,200772081;;29500;0,116413171
14800;0,196730615;;29600;0,123903704
14850;0,203447856;;29700;0,114017964
14900;0,197513975;;29800;0,117018262
14950;0,193488442;;29900;0,116373074
15000;0,192050866;;30000;0,117968402
15050;0,18799982;;30100;0,106371009
15100;0,191787827;;30200;0,108904898
15150;0,191832461;;30300;0,108115023
15200;0,200432467;;30400;0,102477755
15250;0,204860027;;30500;0,105789418
15300;0,188735997;;30600;0,109483036
15350;0,190888759;;30700;0,108726754
15400;0,184823091;;30800;0,108534521
15450;0,170001866;;30900;0,109266501
15500;0,173102992;;31000;0,104338704
15550;0,176131008;;;
15600;0,17389594;;;
15650;0,158846138;;;
15700;0,168139024;;;
15750;0,164378694;;;
15800;0,148004378;;;
15850;0,175957713;;;
15900;0,176466021;;;
15950;0,152275529;;;
16000;0,147340489;;;
16050;0,148769199;;;
16100;0,144111009;;;
16150;0,145835561;;;
16200;0,127704174;;;
16250;0,12747558;;;
16300;0,137007066;;;
16350;0,132631149;;;
16400;0,123020785;;;
16450;0,125593348;;;
16500;0,122496939;;;
16550;0,12228523;;;
16600;0,133592877;;;
16650;0,131092175;;;
16700;0,118867498;;;
16750;0,114597567;;;
16800;0,112882694;;;
16850;0,119606682;;;
16900;0,124555777;;;
16950;0,112702816;;;
17000;0,113712402;;;
17050;0,098313687;;;
17100;0,109871909;;;
17150;0,098709526;;;
17200;0,102465133;;;
17250;0,102093945;;;
17300;0,09569962;;;
17350;0,094850696;;;
17400;0,104357307;;;
17450;0,096456277;;;
17500;0,098113115;;;
17550;0,098790589;;;
17600;0,095675161;;;
17650;0,0836953;;;
17700;0,096327266;;;
17750;0,101589573;;;
17800;0,094051397;;;
17850;0,094312152;;;
17900;0,095396476;;;
17950;0,093063261;;;
18000;0,096605075;;;
18050;0,085846934;;;
18100;0,096613302;;;
18150;0,083368518;;;
18200;0,086752306;;;
18250;0,082068695;;;
18300;0,082542856;;;
18350;0,080987185;;;
18400;0,083914351;;;
18450;0,084355667;;;
18500;0,08538408;;;
18550;0,080607987;;;
18600;0,08836181;;;
18650;0,080452642;;;
18700;0,084321405;;;
18750;0,079782862;;;
18800;0,087499573;;;
18850;0,084327456;;;
18900;0,081021698;;;
18950;0,084323626;;;
19000;0,082863366;;;
19050;0,080691235;;;
19100;0,08624407;;;
