Note: The temperature values on this sheet are 1,000-yr averages. ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Age;Summer Temp;1sigma+;1sigma-;2sigma+;2sigma-;;Age;ORBIT;;Age;MEBM;;Age;GLAC1D;;Age;ICE-6G;
(ka);(C);(C);(C);(C);(C);;(ka);(C);;(ka);(C);;(ka);(C);;(ka);(C);
0,319;-0,69;-0,46;-0,89;-0,23;-1,08;;;;;;;;;;;;;
0,320;-0,69;-0,46;-0,89;-0,23;-1,08;;;;;;;;;;;;;
0,321;-0,69;-0,46;-0,89;-0,23;-1,08;;;;;;;;;;;;;
0,322;-0,69;-0,46;-0,89;-0,23;-1,08;;;;;;;;;;;;;
0,323;-0,69;-0,46;-0,88;-0,23;-1,08;;;;;;;;;;;;;
0,324;-0,69;-0,46;-0,88;-0,23;-1,08;;;;;;;;;;;;;
0,325;-0,70;-0,47;-0,89;-0,24;-1,08;;;;;;;;;;;;;
0,326;-0,69;-0,46;-0,89;-0,23;-1,08;;;;;;;;;;;;;
0,327;-0,70;-0,47;-0,89;-0,24;-1,08;;;;;;;;;;;;;
0,328;-0,70;-0,47;-0,90;-0,25;-1,09;;;;;;;;;;;;;
0,329;-0,70;-0,47;-0,89;-0,24;-1,08;;;;;;;;;;;;;
0,330;-0,70;-0,47;-0,89;-0,24;-1,08;;;;;;;;;;;;;
0,331;-0,70;-0,47;-0,89;-0,24;-1,08;;;;;;;;;;;;;
0,332;-0,71;-0,48;-0,90;-0,25;-1,09;;;;;;;;;;;;;
0,333;-0,71;-0,48;-0,91;-0,25;-1,10;;;;;;;;;;;;;
0,334;-0,72;-0,49;-0,91;-0,26;-1,10;;;;;;;;;;;;;
0,335;-0,72;-0,49;-0,91;-0,26;-1,10;;;;;;;;;;;;;
0,336;-0,72;-0,49;-0,91;-0,26;-1,10;;;;;;;;;;;;;
0,337;-0,72;-0,49;-0,91;-0,26;-1,10;;;;;;;;;;;;;
0,338;-0,71;-0,48;-0,91;-0,26;-1,10;;;;;;;;;;;;;
0,339;-0,72;-0,49;-0,91;-0,26;-1,10;;;;;;;;;;;;;
0,340;-0,71;-0,48;-0,90;-0,25;-1,09;;;;;;;;;;;;;
0,341;-0,71;-0,48;-0,90;-0,25;-1,10;;;;;;;;;;;;;
0,342;-0,71;-0,48;-0,90;-0,25;-1,09;;;;;;;;;;;;;
0,343;-0,71;-0,48;-0,90;-0,25;-1,09;;;;;;;;;;;;;
0,344;-0,71;-0,48;-0,90;-0,26;-1,10;;;;;;;;;;;;;
0,345;-0,71;-0,49;-0,91;-0,26;-1,10;;;;;;;;;;;;;
0,346;-0,71;-0,49;-0,91;-0,26;-1,10;;;;;;;;;;;;;
0,347;-0,71;-0,48;-0,90;-0,25;-1,10;;;;;;;;;;;;;
0,348;-0,71;-0,48;-0,90;-0,25;-1,09;;;;;;;;;;;;;
0,349;-0,71;-0,48;-0,90;-0,25;-1,09;;;;;;;;;;;;;
0,350;-0,71;-0,48;-0,90;-0,25;-1,09;;;;;;;;;;;;;
0,351;-0,70;-0,47;-0,89;-0,24;-1,09;;;;;;;;;;;;;
0,352;-0,70;-0,47;-0,89;-0,24;-1,08;;;;;;;;;;;;;
0,353;-0,70;-0,48;-0,90;-0,25;-1,09;;;;;;;;;;;;;
0,354;-0,69;-0,46;-0,88;-0,23;-1,08;;;;;;;;;;;;;
0,355;-0,69;-0,46;-0,88;-0,23;-1,08;;;;;;;;;;;;;
0,356;-0,69;-0,46;-0,88;-0,23;-1,07;;;;;;;;;;;;;
0,357;-0,69;-0,46;-0,88;-0,23;-1,07;;;;;;;;;;;;;
0,358;-0,69;-0,46;-0,89;-0,24;-1,08;;;;;;;;;;;;;
0,359;-0,70;-0,47;-0,90;-0,25;-1,09;;;;;;;;;;;;;
0,360;-0,70;-0,47;-0,89;-0,23;-1,09;;;;;;;;;;;;;
0,361;-0,69;-0,46;-0,89;-0,23;-1,08;;;;;;;;;;;;;
0,362;-0,69;-0,46;-0,89;-0,23;-1,08;;;;;;;;;;;;;
0,363;-0,69;-0,46;-0,89;-0,23;-1,08;;;;;;;;;;;;;
0,364;-0,68;-0,45;-0,88;-0,21;-1,07;;;;;;;;;;;;;
0,365;-0,68;-0,45;-0,88;-0,22;-1,07;;;;;;;;;;;;;
0,366;-0,69;-0,45;-0,88;-0,22;-1,08;;;;;;;;;;;;;
0,367;-0,69;-0,46;-0,89;-0,23;-1,08;;;;;;;;;;;;;
0,368;-0,69;-0,46;-0,89;-0,23;-1,08;;;;;;;;;;;;;
0,369;-0,69;-0,46;-0,89;-0,23;-1,08;;;;;;;;;;;;;
0,370;-0,69;-0,46;-0,89;-0,23;-1,08;;;;;;;;;;;;;
0,371;-0,70;-0,46;-0,89;-0,23;-1,09;;;;;;;;;;;;;
0,372;-0,70;-0,47;-0,90;-0,24;-1,09;;;;;;;;;;;;;
0,373;-0,70;-0,47;-0,89;-0,24;-1,09;;;;;;;;;;;;;
0,374;-0,70;-0,46;-0,89;-0,23;-1,08;;;;;;;;;;;;;
0,375;-0,70;-0,47;-0,89;-0,23;-1,08;;;;;;;;;;;;;
0,376;-0,70;-0,47;-0,89;-0,23;-1,09;;;;;;;;;;;;;
0,377;-0,69;-0,46;-0,89;-0,23;-1,08;;;;;;;;;;;;;
0,378;-0,69;-0,46;-0,88;-0,23;-1,08;;;;;;;;;;;;;
0,379;-0,69;-0,45;-0,88;-0,22;-1,07;;;;;;;;;;;;;
0,380;-0,68;-0,45;-0,88;-0,22;-1,07;;;;;;;;;;;;;
0,381;-0,67;-0,44;-0,87;-0,21;-1,07;;;;;;;;;;;;;
0,382;-0,66;-0,43;-0,86;-0,20;-1,06;;;;;;;;;;;;;
0,383;-0,66;-0,42;-0,85;-0,19;-1,05;;;;;;;;;;;;;
0,384;-0,65;-0,42;-0,85;-0,19;-1,05;;;;;;;;;;;;;
0,385;-0,65;-0,42;-0,85;-0,19;-1,05;;;;;;;;;;;;;
0,386;-0,65;-0,42;-0,85;-0,19;-1,05;;;;;;;;;;;;;
0,387;-0,65;-0,41;-0,85;-0,18;-1,04;;;;;;;;;;;;;
0,388;-0,64;-0,41;-0,84;-0,17;-1,03;;;;;;;;;;;;;
0,389;-0,64;-0,41;-0,84;-0,17;-1,04;;;;;;;;;;;;;
0,390;-0,65;-0,41;-0,84;-0,18;-1,04;;;;;;;;;;;;;
0,391;-0,65;-0,42;-0,85;-0,19;-1,05;;;;;;;;;;;;;
0,392;-0,65;-0,42;-0,85;-0,19;-1,05;;;;;;;;;;;;;
0,393;-0,66;-0,42;-0,85;-0,19;-1,05;;;;;;;;;;;;;
0,394;-0,66;-0,43;-0,86;-0,19;-1,05;;;;;;;;;;;;;
0,395;-0,65;-0,42;-0,85;-0,19;-1,05;;;;;;;;;;;;;
0,396;-0,66;-0,42;-0,85;-0,19;-1,05;;;;;;;;;;;;;
0,397;-0,65;-0,42;-0,85;-0,19;-1,05;;;;;;;;;;;;;
0,398;-0,65;-0,42;-0,85;-0,19;-1,05;;;;;;;;;;;;;
0,399;-0,65;-0,42;-0,85;-0,19;-1,05;;;;;;;;;;;;;
0,400;-0,65;-0,41;-0,85;-0,18;-1,04;;;;;;;;;;;;;
0,401;-0,65;-0,41;-0,84;-0,18;-1,04;;;;;;;;;;;;;
0,402;-0,64;-0,41;-0,84;-0,17;-1,04;;;;;;;;;;;;;
0,403;-0,64;-0,41;-0,84;-0,17;-1,04;;;;;;;;;;;;;
0,404;-0,64;-0,41;-0,84;-0,17;-1,03;;;;;;;;;;;;;
0,405;-0,64;-0,41;-0,84;-0,17;-1,04;;;;;;;;;;;;;
0,406;-0,64;-0,41;-0,84;-0,18;-1,04;;;;;;;;;;;;;
0,407;-0,64;-0,40;-0,83;-0,17;-1,03;;;;;;;;;;;;;
0,408;-0,63;-0,40;-0,83;-0,16;-1,03;;;;;;;;;;;;;
0,409;-0,63;-0,40;-0,83;-0,16;-1,03;;;;;;;;;;;;;
0,410;-0,63;-0,39;-0,83;-0,16;-1,02;;;;;;;;;;;;;
0,411;-0,62;-0,39;-0,82;-0,16;-1,02;;;;;;;;;;;;;
0,412;-0,62;-0,39;-0,82;-0,15;-1,02;;;;;;;;;;;;;
0,413;-0,62;-0,39;-0,82;-0,15;-1,02;;;;;;;;;;;;;
0,414;-0,62;-0,39;-0,82;-0,15;-1,02;;;;;;;;;;;;;
0,415;-0,63;-0,39;-0,82;-0,16;-1,02;;;;;;;;;;;;;
0,416;-0,63;-0,39;-0,82;-0,16;-1,02;;;;;;;;;;;;;
0,417;-0,63;-0,39;-0,82;-0,16;-1,02;;;;;;;;;;;;;
0,418;-0,63;-0,40;-0,83;-0,17;-1,03;;;;;;;;;;;;;
0,419;-0,64;-0,40;-0,83;-0,17;-1,03;;;;;;;;;;;;;
0,420;-0,64;-0,41;-0,83;-0,17;-1,03;;;;;;;;;;;;;
0,421;-0,64;-0,41;-0,84;-0,18;-1,03;;;;;;;;;;;;;
0,422;-0,64;-0,41;-0,84;-0,18;-1,04;;;;;;;;;;;;;
0,423;-0,65;-0,41;-0,84;-0,18;-1,04;;;;;;;;;;;;;
0,424;-0,64;-0,41;-0,84;-0,18;-1,04;;;;;;;;;;;;;
0,425;-0,64;-0,41;-0,84;-0,18;-1,04;;;;;;;;;;;;;
0,426;-0,64;-0,41;-0,84;-0,18;-1,04;;;;;;;;;;;;;
0,427;-0,64;-0,41;-0,84;-0,17;-1,03;;;;;;;;;;;;;
0,428;-0,64;-0,40;-0,83;-0,17;-1,03;;;;;;;;;;;;;
0,429;-0,63;-0,39;-0,82;-0,16;-1,02;;;;;;;;;;;;;
0,430;-0,63;-0,40;-0,83;-0,17;-1,03;;;;;;;;;;;;;
0,431;-0,64;-0,41;-0,84;-0,17;-1,03;;;;;;;;;;;;;
0,432;-0,64;-0,41;-0,84;-0,17;-1,03;;;;;;;;;;;;;
0,433;-0,64;-0,40;-0,83;-0,17;-1,03;;;;;;;;;;;;;
0,434;-0,64;-0,40;-0,83;-0,17;-1,03;;;;;;;;;;;;;
0,435;-0,63;-0,40;-0,83;-0,17;-1,03;;;;;;;;;;;;;
0,436;-0,64;-0,40;-0,83;-0,17;-1,03;;;;;;;;;;;;;
0,437;-0,64;-0,40;-0,83;-0,17;-1,03;;;;;;;;;;;;;
0,438;-0,64;-0,41;-0,83;-0,17;-1,03;;;;;;;;;;;;;
0,439;-0,64;-0,41;-0,83;-0,17;-1,03;;;;;;;;;;;;;
0,440;-0,64;-0,40;-0,83;-0,17;-1,03;;;;;;;;;;;;;
0,441;-0,63;-0,40;-0,83;-0,17;-1,02;;;;;;;;;;;;;
0,442;-0,63;-0,40;-0,83;-0,17;-1,02;;;;;;;;;;;;;
0,443;-0,63;-0,40;-0,83;-0,17;-1,02;;;;;;;;;;;;;
0,444;-0,63;-0,40;-0,83;-0,17;-1,02;;;;;;;;;;;;;
0,445;-0,63;-0,40;-0,83;-0,17;-1,02;;;;;;;;;;;;;
0,446;-0,63;-0,40;-0,82;-0,16;-1,02;;;;;;;;;;;;;
0,447;-0,63;-0,40;-0,82;-0,16;-1,02;;;;;;;;;;;;;
0,448;-0,63;-0,40;-0,82;-0,17;-1,02;;;;;;;;;;;;;
